Site,AnTMP.mean,AnTMP.sd,AnPRE.mean,AnPRE.sd
"Amacayacu",25.8847622757866,0.382431647946487,2706.32290204763,359.921089153483
"Badagongshan",14.8388097721108,0.375247888337519,1293.25573658943,173.116159256379
"Baishanzu",14.5220240597214,0.457211060071795,1635.90431511445,241.010715598223
"Baotianman",14.0888097563226,0.57307032752067,765.517154802701,128.95732645096
"Barro_Colorado_Island",26.1760718254816,0.350783908985355,2627.18772857143,504.40938726723
"Bidoup",22.6126194363549,0.343362808731758,1835.62714352608,54.3648787962217
"Bukit_Timah",27.0904765901112,0.491070193487131,2215.89146814346,316.346521442361
"Changbaishan",1.07702384383551,0.727115233247673,872.105728967914,117.313808939917
"Cocoli",26.512619415919,0.340135130057339,1655.72717108045,29.8471083608427
"Danum_Valley",25.2977384885152,0.328003642782441,2681.82575950623,367.410445685587
"Daxinganling",-6.16797626341383,0.908452046902709,473.06143633404,65.3014581866361
"Dinghushan",21.7792860542025,0.386949304209825,1769.84002713785,272.292437318487
"Doi_Inthanon",23.0408337366013,0.390476768484754,1243.18288000503,146.312479954132
"Donglingshan",7.56250013647868,0.792350674095048,474.640008276595,98.3188050712102
"Fushan",21.2173812718619,0.447934834952101,2040.61003475189,325.51787870713
"Gutianshan",15.820595500086,0.508420892099931,1648.00860188391,252.015284577856
"Haliburton",4.59440483629171,0.781519304292371,1145.27001875469,105.845956522127
"Harvard_Forest",7.25736915547686,0.727856158250914,1155.09539821516,192.151058577149
"Heishiding",21.2964289052146,0.372663330053462,1723.25717093178,256.304304590285
"Hong_Kong",22.9052384308406,0.400443048789185,2264.29717866651,430.052907743382
"Huai_Kha_Khaeng",25.1130955764226,0.419587769339861,1427.56716583701,197.499160756836
"Ilha_do_Cardoso",20.8419051567714,0.599664400418308,2117.66717880794,306.16676261896
"Indian_Cave",11.3575095005795,0.823318174373737,866.998439397093,190.821441311895
"Ituri_(Edoro_and_Lenda)",23.8702384857904,0.49624915944884,1413.88573566164,116.838781297053
"Jianfengling",24.5638099045981,0.374778235368093,2134.80860663312,392.778920192007
"Kenting",23.4273813463393,0.373910505160499,2257.17289750235,382.005686472269
"Khao_Chong",26.9452384767078,0.420914505149084,2243.28146346211,270.44814253329
"Korup",25.5301194463458,0.262145751509482,2508.59003753449,252.843925863278
"Kuala_Belalong",26.5690479891641,0.314984529319859,3803.32720707485,486.744049092059
"La_Planada",16.2225003492265,0.409302967892492,1636.06145555973,199.666145521201
"Lambir",26.3132146472023,0.314390802776508,3119.8586258752,381.519420903985
"Laupahoehoe",18.703571785064,0.488234309720433,2051.99146359307,411.454318393701
"Lienhuachih",16.4076193366732,0.433281628644673,2006.79860474042,297.41153636505
"Lilly_Dickey_Woods",11.859624720166,0.768506745316197,1154.20420119075,191.333195196289
"Luquillo",25.6094051406497,0.476397236030129,2332.05146758216,425.229117332505
"Manaus",27.2811908540272,0.468826294565842,2122.79432114874,244.75816410717
"Michigan_Big_Woods",8.87452472069146,0.707777795513431,823.066452513946,125.887240526764
"Mo_Singto",27.3085717950549,0.428484529260661,1701.93859829881,240.106883078469
"Mpala",17.3317860875811,0.415157403023249,829.054300609657,163.335695059369
"Mudumalai",24.0313099293482,0.434885356385996,1107.56573401785,186.32122878418
"Nanjenshan",23.2340480077835,0.384124771868105,2197.66289487566,359.349819009384
"Ngel_Nyaki",23.9122622853234,0.285237006322908,1600.10002584404,133.003639636227
"Niobara",9.53682325104607,0.879761194101148,560.363704901181,123.527344370652
"Nonggang",22.3938098873411,0.390220319367498,1338.37288000584,157.35692338836
"Ordway-Swisher",20.9449360829352,0.599354350361001,1336.40389337096,178.701687319844
"Palamanui",17.4632146665028,0.486898626794648,1595.08859676634,338.906078313281
"Palanan",25.022381348837,0.329456739904182,2615.31432507379,417.570174860896
"Pasoh",25.9075003805615,0.493400775164216,1937.85717714173,210.048181227505
"Rabi",26.0989289647057,0.298395201983637,1962.8257463187,242.672750703517
"San_Lorenzo",26.1760718254816,0.350783908985355,2896.34719349997,65.9394540855361
"Santa_Cruz",14.2828137075509,0.630781972571926,1259.12453590257,417.32127046389
"Scotty_Creek",-3.07226197473883,1.09931976385461,373.310006526538,56.4933125499879
"Sinharaja",26.6919051283882,0.417342359145094,2695.38432549919,451.590092746237
"Smithsonian_Conservation_Biology_Institute",11.7280852066298,0.650881019535718,1083.0731518973,179.89701074461
"Smithsonian_Environmental_Research_Center",13.6307420432347,0.660103859441171,1114.93080142708,188.301819771621
"Speulderbos",9.70750018389275,0.845963663404336,781.405727812222,109.331884538493
"Tiantongshan",16.7164288637184,0.472809346425273,1434.68717043591,196.072340712395
"Traunstein",5.78797628794397,0.811925069623844,1402.70145195212,156.568722458856
"Tyson_Research_Center",13.4500411236309,0.810673473074243,1038.97375581302,208.324099242968
"University_of_Maryland,_Baltimore_County",13.5303299150584,0.657734363454563,1127.24631942134,194.755330882612
"Utah_Forest_Dynamics_Plot",2.50377246087065,0.796162983266549,841.51690784558,210.582368296653
"Wabikon",4.75422920474745,0.858765029552178,813.327003425667,123.99285402362
"Wanang",26.3136908236004,0.186776172207685,3394.62432749612,238.483747718402
"Wind_River",8.87991245525129,0.729729184352258,2419.95514638462,443.071217426881
"Wytham_Woods",9.98309541049281,0.619412170972044,676.841440742356,93.6710244716927
"Xishuangbanna",20.9029765333448,0.434604327703989,1400.27430934033,143.915422450746
"Yasuni",26.0478575184232,0.369305080606842,3332.66719959804,297.124123539304
"Yosemite_National_Park",9.76818383534097,0.882521711776839,1020.8334707067,335.090692196119
"Zofin",8.31988110731223,0.832248441427553,730.824299877882,83.567575218832
