Site,JulyTMP.mean,JulyTMP.sd,JanTMP.mean,JanTMP.sd
"Amacayacu",25.3600003106254,0.626330400681354,25.9085718972343,0.545533274954895
"Badagongshan",25.8057145799909,0.764783987840421,3.24428574559944,1.22410995769884
"Baishanzu",23.9885718209403,0.717189017038757,4.5442857844489,1.2460529883457
"Baotianman",26.0428573608399,0.780481342759618,1.3185714540737,1.23350485422789
"Barro_Colorado_Island",26.6228575570243,0.455934011044283,25.4642860140119,0.502468002116692
"Bidoup",23.8557145527431,0.310975763209869,20.5828575134278,0.790518278176726
"Bukit_Timah",27.2942861557007,0.632429144094088,26.24714314597,0.600174220849833
"Changbaishan",17.9928574698312,1.03676210202312,-18.9585718291147,1.90996569286319
"Cocoli",26.9057146617345,0.441304304419723,25.9600003106254,0.487347115281516
"Danum_Valley",25.1928576605661,0.384979419868866,24.9842860903059,0.524372864644353
"Daxinganling",15.1600002425058,0.918000470960351,-30.2400003160749,2.2022648642211
"Dinghushan",28.460000365121,0.491197809457124,13.2642858505249,1.32916399689833
"Doi_Inthanon",24.0242860794067,0.390998534343823,19.0057146889823,0.975925645747894
"Donglingshan",22.3314289637974,0.907543719848833,-9.4042859009334,1.71273457983905
"Fushan",27.0285717282977,0.555119267432946,15.1671430860247,1.09421690646611
"Gutianshan",26.8700003487723,0.866167604760285,3.97142865742956,1.30330051188854
"Haliburton",18.6428574562073,1.21507107744511,-11.4057144709996,2.72662058656921
"Harvard_Forest",19.9800915571952,1.14817486779396,-6.01481365629841,2.61520670030997
"Heishiding",28.142857497079,0.478091446212005,12.5542859213693,1.37056905814818
"Hong_Kong",28.6871432168143,0.485416816007546,15.4314288275582,1.25091779146539
"Huai_Kha_Khaeng",25.7128573826381,0.451702695729233,22.4371431350708,1.0769215344874
"Ilha_do_Cardoso",17.0214289801461,1.14105126833819,24.557143347604,0.842455420046909
"Indian_Cave",25.1775300523024,1.46975810158555,-4.16449681221749,2.82462461468753
"Ituri_(Edoro_and_Lenda)",22.8114290782384,0.550241784703775,24.0442860739572,0.836596904690051
"Jianfengling",28.1128575461251,0.38894935476656,19.1557146208627,1.29577199363507
"Kenting",27.6042860031128,0.461703159334651,18.2757146290371,0.972287845016379
"Khao_Chong",27.060000365121,0.466065816971712,26.0571432113648,0.699600637673926
"Korup",24.4157147271293,0.414111831168821,25.3571433203561,0.416532197345613
"Kuala_Belalong",26.6157145908901,0.422770555176191,26.1128575461251,0.529949767473183
"La_Planada",16.2142861230033,0.604400800235218,15.935714503697,0.542681440797049
"Lambir",26.5328574861799,0.419012409182993,25.7328574589321,0.552916222777492
"Laupahoehoe",20.1357147489275,0.670936142081526,17.1757145745414,0.580962725886896
"Lienhuachih",20.9957146235875,0.518200784565593,11.4128573553903,1.08519965137858
"Lilly_Dickey_Woods",24.0327504278255,1.22845722373437,-2.02513282544753,2.94055494570977
"Luquillo",26.9971432549613,0.504751764536607,23.5200002942767,0.613519230321399
"Manaus",26.9742860794068,0.739895487721479,26.8885717936925,0.613505681646778
"Michigan_Big_Woods",21.8656533063436,1.19407409765192,-5.13574771418403,2.65156832113232
"Mo_Singto",27.6557146344866,0.451610906850062,25.2000004087176,1.17904405345645
"Mpala",16.6128575325012,0.488096280384988,16.1942860058376,0.572025638671711
"Mudumalai",23.2528575624739,0.545793266160287,22.1457146780832,0.539373223330128
"Nanjenshan",26.7085717064994,0.460542407180742,18.5957146644592,0.984140220071844
"Ngel_Nyaki",22.7457147325788,0.451305948341087,23.028571837289,0.595427741454924
"Niobara",24.2782562878059,1.56852184026355,-5.32388585964764,3.28421705326985
"Nonggang",28.3914290291923,0.424176148841394,14.1342859268188,1.23568741913107
"Ordway-Swisher",27.4799156256765,0.509056234899119,13.3034791505657,2.38679036722958
"Palamanui",18.9314289093018,0.668232072225901,15.8742860521589,0.580276374176804
"Palanan",26.5428575788226,0.381291317628013,22.2542860576085,0.701072717335954
"Pasoh",25.985714667184,0.614153290233768,25.4357146944319,0.615037561346118
"Rabi",23.5700005940029,0.529793464342923,27.3228574752808,0.374619178762925
"San_Lorenzo",26.6228575570243,0.455934011044283,25.4642860140119,0.502468002116692
"Santa_Cruz",19.3536384143169,0.939297911103711,9.08095122275767,1.43230318205524
"Scotty_Creek",16.532857472556,1.04447778147898,-24.6885718073164,4.2859914052209
"Sinharaja",26.8285717010498,0.535180649412542,26.0328575134277,0.510106905630882
"Smithsonian_Conservation_Biology_Institute",23.145625519766,1.08405992644712,-0.444892584336826,2.57513749364562
"Smithsonian_Environmental_Research_Center",25.4304214411711,1.07544248296166,1.44101321924763,2.30843117864762
"Speulderbos",17.2985717909677,1.53542650195487,2.4957143271608,2.37068058330347
"Tiantongshan",27.7585718972343,0.783062125872764,5.64285724163055,1.16948788691986
"Traunstein",14.597143132346,1.54225249009402,-3.20142862732921,2.07856512313396
"Tyson_Research_Center",26.0439680687792,1.34241023950579,-0.610641667267685,2.80789917593
"University_of_Maryland,_Baltimore_County",25.6128105399998,1.10877448560091,1.18679351976273,2.45073098101075
"Utah_Forest_Dynamics_Plot",13.7852012161313,1.16136981200156,-6.23301236012504,1.97402247911909
"Wabikon",18.7090735735904,1.32080753890343,-11.1044973541538,2.77487117193828
"Wanang",25.6971434184483,0.263736445215501,26.6285717282976,0.303669785982177
"Wind_River",18.1455349976343,1.48923112988014,0.59634032597434,2.23479523194859
"Wytham_Woods",16.9485717228481,1.11858376126692,4.12142863529069,1.56787431458846
"Xishuangbanna",23.9271431241717,0.361927813825777,15.8614287921361,0.998011554195456
"Yasuni",24.9114288875035,0.531484845626189,26.442857497079,0.494776172579808
"Yosemite_National_Park",19.0038588245992,1.54769441394015,3.40107073976511,2.02998296872627
"Zofin",18.0814290182931,1.51784486214611,-2.01000002452305,2.29707757218109
