sites.sitename,tmp_mean,tmn.x_mean,tmx_mean,cld_mean,pre_sum,pre_mean,wet_sum,frs_sum,pet_sum_sum,cld_min,cld_max,cld_median,cld_sd,dtr_min,dtr_max,dtr_median,dtr_sd,frs_min,frs_max,frs_median,frs_sd,pre_min,pre_max,pre_median,pre_sd,tmn.x_min,tmn.x_max,tmn.x_median,tmn.x_sd,tmp_min,tmp_max,tmp_median,tmp_sd,tmn.y_min,tmn.y_max,tmn.y_median,tmn.y_sd,tmx_min,tmx_max,tmx_median,tmx_sd,vap_min,vap_max,vap_median,vap_sd,wet_min,wet_max,wet_median,wet_sd
Luquillo,25.60940514,22.42880992,28.84119086,59.7133343,163243.6027,2332.051468,15022.82966,0,85868.70115,39,78.80000305,59.29999924,8.879276114,4.099999905,8.400000572,6.5,0.566160623,0,0,0,0,9.199999809,771.2999878,176.2500076,110.2704612,18.89999962,25.30000114,22.70000076,1.469500315,22,28.30000114,25.80000114,1.425000547,18.89999962,25.30000114,22.70000076,1.469500315,24.80000114,31.39999962,29.10000038,1.437715541,23.30000114,33.10000229,29,2.405371928,3.119999886,30.76000023,17.78999901,4.412289933
Manaus,27.28119085,23.07916703,31.53059576,81.58107296,148595.6025,2122.794321,16878.18968,0,80770.40118,58.29999924,97.80000305,84.80000305,10.18328284,6.400000095,11.90000057,8.300000191,0.999927487,0,0,0,0,2.900000095,500.2000122,165.5,101.3013373,21.10000038,25.5,23,0.721742557,25.39999962,30.10000038,27.20000076,0.801014594,21.10000038,25.5,23,0.721742557,29.20000076,35.29999924,31.39999962,1.126579872,24.80000114,34.60000229,29.89999962,1.444754094,0.239999995,31,20.45499993,7.303391965
Michigan_Big_Woods,9.721428729,4.467738183,15.0046431,66.65726307,59430.90097,849.012871,9543.359791,9425.199813,66905.70113,43.10000229,90.70000458,66.30000305,9.408869146,4.900000095,16,10.90000057,2.147124923,0,31,7.139999866,11.63793632,5.5,184.4000092,68.70000076,31.6915913,-15.30000019,19.60000038,4.099999905,9.029373227,-11.10000038,26,10.10000038,9.809137866,-15.30000019,19.60000038,4.099999905,9.029373227,-7,32.40000153,16.10000038,10.66577825,1.5,22.89999962,8.300000191,5.621680571,2.429999828,21.34000015,11.13999939,3.085503334
Mo_Singto,27.3085718,22.2345242,32.43619106,60.89666778,119135.7019,1701.938598,9470.159784,0,90843.90145,15.40000057,99.90000153,60.95000076,19.98854506,6.700000286,15.80000019,9.900000572,2.163743324,0,0,0,0,0,551.7999878,122.3000031,126.0264563,14.40000057,25.39999962,23.10000038,2.06354324,21.80000114,31.60000038,27.39999962,1.593280856,14.40000057,25.39999962,23.10000038,2.06354324,28,37.90000153,32,1.776740255,15.30000019,33.5,28.85000038,3.879759182,0,28.78999901,11.6949997,8.032488907
Mpala,17.33178609,9.759047803,24.95488133,69.20726323,58033.80104,829.0543006,10505.35978,186.3599954,93050.90106,39.70000076,92.90000153,69.35000229,7.033716635,11.90000057,19.60000038,14.80000019,1.619302427,0,3.559999943,0.01,0.463268554,0.5,362.8999939,61.05000114,46.70875061,6,13,9.800000191,1.179801832,14.69999981,19.89999962,17.30000114,0.872887436,6,13,9.800000191,1.179801832,21.60000038,28.30000114,24.89999962,1.201062291,8.900000572,17.30000114,12.80000019,1.244495567,0.280000001,30,12.375,4.859127766
Mudumalai,24.03130993,18.88511944,29.21452426,50.72000088,77529.60138,1107.565734,4147.699914,0,102640.5018,13,87.30000305,48.79999924,19.31616198,6.5,16.30000114,10.10000038,2.085252067,0,0,0,0,0,473.3999939,78.10000229,83.73090584,14.5,22.39999962,19.20000076,1.55889697,20.60000038,28.5,23.70000076,1.6285689,14.5,22.39999962,19.20000076,1.55889697,25.30000114,35.10000229,28.39999962,2.249710166,15.40000057,26,22.39999962,2.369612922,0,14.07999992,5.224999905,3.718002819
Nanjenshan,23.23404801,19.25119082,27.26535751,67.0484536,153836.4026,2197.662895,10558.23975,0,88363.00133,41.20000076,87.5,67.25000381,7.075054791,5.300000191,10.60000038,8.199999809,1.066323536,0,0,0,0,7.300000191,920.4000244,111.8500023,170.8128861,10.10000038,24.5,19.89999962,3.56990787,15.19999981,28,24,3.122967769,10.10000038,24.5,19.89999962,3.56990787,19.39999962,31.70000076,28.20000076,2.701926666,10.5,31.70000076,22.35000038,5.662043514,2.129999876,29.36999893,11.64999962,4.93765019
Ngel_Nyaki,23.91226229,18.2333337,29.64154804,69.06226295,112007.0018,1600.100026,9257.489791,0,89525.20154,37,93.20000458,70.35000229,14.73088101,6.400000095,17.60000038,10.6500001,2.800990282,0,0,0,0,0,395.5,141.5500031,112.2505289,13,22,18.60000038,1.766165509,21.10000038,28,23.5,1.424560547,13,22,18.60000038,1.766165509,25.70000076,34.5,29.80000114,2.207042619,10.19999981,24.70000076,21.80000114,4.489562676,0,23.93000031,13.31499958,8.27017185
Niobara,8.29630965,0.828571447,15.78809549,56.86654844,36397.10064,519.9585805,6261.349855,12409.04977,78219.00129,31.89999962,81.09999847,59.10000229,9.352790989,9.600000381,20.5,14.90000057,1.714373086,0,31,15.78999996,12.86020235,0.400000006,182.4000092,34.25,34.22646715,-20.30000114,18.60000038,0.800000012,10.34236097,-13.19999981,27,8.600000381,10.60469354,-20.30000114,18.60000038,0.800000012,10.34236097,-6.700000286,35.60000229,16.55000019,10.95606155,1.200000048,21.60000038,6.599999905,5.24030674,0.569999993,16.5,7.399999619,2.787573577
Nonggang,22.39380989,18.44130984,26.39702427,73.04488245,93686.1016,1338.37288,10807.90978,18.68999966,74154.70109,31.20000076,95.09999847,73.80000305,9.438779721,3.600000143,13.19999981,7.900000095,1.361190609,0,3.059999943,0,0.179028124,1,472.3000183,82.40000153,93.95878103,6.300000191,25.30000114,19.5,5.118090265,10.80000019,29.5,23.5,5.187622606,6.300000191,25.30000114,19.5,5.118090265,13,33.90000153,27.5,5.345393729,9.199999809,31.10000038,21.70000076,6.404277408,0.839999974,23.88999939,13.07499981,4.518018885
Ordway-Swisher,21.124167,15.22261931,27.07726234,57.89869123,93329.40182,1333.277169,8032.139833,384.5199907,88840.90169,42.20000076,73.30000305,57.70000076,5.255646726,8.199999809,16.10000038,11.80000019,1.39550696,0,13.38999939,0,1.402068247,1.399999976,398.2000122,100.9000015,68.32245386,1.700000048,23.5,15.55000019,5.651311339,8.5,29.39999962,21.60000038,5.341518864,1.700000048,23.5,15.55000019,5.651311339,14.5,35.40000153,27.65000057,5.109648316,7.300000191,31.89999962,18.5,6.987208416,0.079999998,19.85000038,9.024999619,3.946932836
Palamanui,17.46321467,13.52142877,21.45428607,68.29035856,111656.2018,1595.088597,17161.18962,0.170000002,71954.40124,55.70000076,79.90000153,68.80000305,5.685795389,5.700000286,10.5,7.900000095,0.73043262,0,0.170000002,0,0.005865557,8.900000572,505.8999939,117.0499992,75.24591063,9.100000381,17.20000076,13.60000038,1.512780028,13.69999981,20.89999962,17.5,1.408248063,9.100000381,17.20000076,13.60000038,1.512780028,18,24.80000114,21.39999962,1.392584037,12.80000019,20.39999962,16.10000038,1.220442718,4.819999695,31,20.47499943,5.459133839
Palanan,25.02238135,20.29785753,29.79428616,65.31023932,183072.0028,2615.314325,12975.8897,0,84989.70146,32.79999924,91.59999847,66.70000458,9.392862249,5.5,12.69999981,9.5,1.401195355,0,0,0,0,8.400000572,1027.5,190.0500031,154.9978006,15.90000057,23.30000114,20.65000057,1.558901603,20.20000076,28.10000038,25.5,1.747308255,15.90000057,23.30000114,20.65000057,1.558901603,24,34,30.30000114,2.157370274,20.80000114,30.5,26.39999962,2.257553062,0.599999964,31,15.59999943,5.800513392
Pasoh,25.90750038,21.63083372,30.23202421,73.27607292,135650.0024,1937.857177,15823.50966,0,78512.30117,45.20000076,99.70000458,73.70000458,7.577756682,6.700000286,10.30000019,8.699999809,0.550109792,0,0,0,0,7.099999905,394.6000061,156.2500076,63.5685923,19.80000114,23.70000076,21.60000038,0.705158417,24.10000038,28,25.89999962,0.662032428,19.80000114,23.70000076,21.60000038,0.705158417,27.80000114,32.29999924,30.20000076,0.729122298,24.60000038,31.70000076,28.5,1.118083958,1.379999995,31,18.69999886,4.669768327
Rabi,26.09892896,22.72392895,29.50726227,90.20690635,137397.8022,1962.825746,9542.119786,0,67364.50107,75.90000153,99.70000458,91.30000305,3.807329801,6.099999905,8,6.549999952,0.637866152,0,0,0,0,0,528.4000244,181.9000015,127.3939021,19,25.10000038,23.10000038,1.230719777,22.30000114,28.39999962,26.5,1.375881549,19,25.10000038,23.10000038,1.230719777,25.60000038,32.20000076,29.80000114,1.580522744,21.80000114,31.70000076,28.70000076,2.4857779,0.059999999,25.61999893,12.96999979,6.5109851
San_Lorenzo,26.17607183,22.96178609,29.44583373,56.97321521,202744.3035,2896.347193,13893.14968,0,93972.8017,30.20000076,99.80000305,60.65000153,10.03762835,3.900000095,9.199999809,6.450000048,0.689791259,0,0,0,0,25.80000114,619.9000244,287.7500153,147.1458908,20.60000038,25.39999962,22.89999962,0.876676589,23.89999962,28.60000038,26.10000038,0.865914642,20.60000038,25.39999962,22.89999962,0.876676589,26.70000076,32.20000076,29.39999962,0.986237504,23.30000114,33.10000229,28.89999962,1.865466842,6.309999943,25.71999931,19.0349989,6.324892214
Santa_Cruz,14.30583359,9.620000151,19.0396432,47.26988169,44897.90071,641.3985816,4293.399894,1002.389974,75865.90139,9.800000191,81.5,48.10000229,15.18634953,5.200000286,14.10000038,9.600000381,1.557459634,0,12.32999992,0.039999999,2.019965323,0,404.3999939,17.55000019,72.73256717,2.100000143,15.80000019,9.600000381,2.957776779,7.400000095,20.70000076,14.40000057,3.297805442,2.100000143,15.80000019,9.600000381,2.957776779,11.19999981,27.39999962,19.30000114,3.770984247,7.800000191,17.39999962,11.69999981,2.20531402,0,17.09000015,4.230000019,4.332365984
Scotty_Creek,-3.072261975,-8.75678586,2.61333337,60.98238189,26131.70046,373.3100065,8034.249826,16324.56987,35901.50057,37.5,80,61,5.726458458,5.599999905,15.90000057,12,2.277048706,0,31,26.90499878,12.44669707,2.299999952,158,23.89999962,22.00509346,-39.90000153,12.30000019,-6.150000095,14.49324644,-35.40000153,18.60000038,-1.150000036,15.05523602,-39.90000153,12.30000019,-6.150000095,14.49324644,-31,25.70000076,3.700000048,15.72253072,0,13.80000019,4.099999905,4.072795336,1.649999976,18.79999924,9.679999352,2.717052792
Sinharaja,26.69190513,23.35178614,30.0807147,64.24750122,188676.9028,2695.384325,8628.129807,0,96337.80174,31.39999962,85.09999847,68.70000458,10.50214946,4.400000095,9.5,6.599999905,1.299861182,0,0,0,0,0.600000024,1044.900024,196.1999969,153.6574076,20.70000076,25.89999962,23.39999962,1.048795965,24.80000114,29,26.65000057,0.704493437,20.70000076,25.89999962,23.39999962,1.048795965,28,33.10000229,30,0.859988394,23.10000038,32,28,1.657934155,0.059999999,26.82999992,9.904999733,4.827877556
Smithsonian_Conservation_Biology_Institute,12.86583355,6.202142957,19.56547646,65.71547736,71225.40118,1017.505731,9280.47979,7756.229859,71306.10121,43.90000153,81.80000305,66,5.786137039,9.199999809,18.30000114,13.40000057,1.549715543,0,30.40999985,3.584999919,10.35386719,1.700000048,266.3999939,78.55000305,43.07826739,-10.90000057,19.80000114,5.950000048,8.05961238,-5.099999905,26.5,13.19999981,8.394408403,-10.90000057,19.80000114,5.950000048,8.05961238,0.699999988,33.40000153,20.39999962,8.800514674,2.200000048,25.60000038,9.600000381,6.64226793,0.939999998,20.05999947,11.13999939,2.84270724
Smithsonian_Environmental_Research_Center,13.95547642,8.781071587,19.17047653,61.5611913,78826.40145,1126.091449,8298.11981,5881.929881,77481.90129,42.29999924,76,61.79999924,5.056828113,6.700000286,14.30000019,10.40000057,1.246018011,0,29.65999985,0.579999983,9.047746837,0.600000024,308.2000122,87.30000305,47.16720945,-9.300000191,22.89999962,8.400000572,8.484430901,-4.5,28.10000038,14.10000038,8.65825936,-9.300000191,22.89999962,8.400000572,8.484430901,0.300000012,33.70000076,19.70000076,8.885675007,2.400000095,26.80000114,10.10000038,6.834686576,0.909999967,16.5,9.939999581,2.418750159
Speulderbos,9.707500184,5.671547714,13.78559549,77.53131096,54698.40095,781.4057278,13097.60971,5850.599869,42582.70078,44.90000153,99.70000458,78.20000458,10.28497349,3.799999952,12.60000038,8.400000572,2.253617592,0,28.90999985,5.029999733,7.319187883,0,169.5,62.45000076,30.34731882,-8.100000381,15.5,5.200000286,4.709644536,-5.099999905,21.20000076,9.400000572,5.565784263,-8.100000381,15.5,5.200000286,4.709644536,-2.200000048,27,13.6500001,6.51286953,3.400000095,17.70000076,9.800000191,3.153579193,0.329999983,31,15.46999979,4.687990985
Tiantongshan,16.71642886,13.36547641,20.11428604,67.89976319,100428.1019,1434.68717,11998.11972,2129.179955,62419.90114,28,94.90000153,67.75000381,10.85722629,4.200000286,9.699999809,6.700000286,0.944047483,0,20.77000046,0,4.300411504,0.200000003,364.8999939,107.2000008,73.38346802,-1.100000024,25.89999962,13.6500001,7.866658443,2.400000095,29.39999962,17.30000114,7.768946999,-1.100000024,25.89999962,13.6500001,7.866658443,5,33.40000153,20.60000038,7.698275441,4.400000095,33.20000076,15.5,8.380979389,0.560000002,25.64999962,14.4449997,3.960320985
Traunstein,5.787976288,1.807261932,9.789881131,64.90226303,98189.10164,1402.701452,13541.56967,11049.79977,39956.60065,28.89999962,89.20000458,66.09999847,9.926621825,5,11.19999981,8,1.295230717,0,30.84000015,12.69999981,10.82552686,2.700000048,336.8999939,112.5999985,56.87769912,-14.80000019,12.90000057,1.850000024,6.18790651,-10.5,18.20000076,5.900000095,6.606439391,-14.80000019,12.90000057,1.850000024,6.18790651,-6.200000286,23.5,10.1500001,7.083806642,2.100000143,14,7.099999905,3.221141697,0.219999999,26.94999886,16.38999939,3.766796312
Tyson_Research_Center,13.20511929,7.580595378,18.86642886,60.79333413,66897.30113,955.6757304,7910.839814,7285.409884,77379.80145,28.80000114,80.90000153,61.65000153,7.88637016,6.900000095,16.70000076,11.30000019,1.43619133,0,31,0.859999985,10.70105629,1.100000024,261.8999939,73.04999924,44.7847934,-14.60000038,23.39999962,8.050000191,9.458363467,-9.400000572,29.5,14.19999981,9.682214685,-14.60000038,23.39999962,8.050000191,9.458363467,-4.200000286,36.20000076,20.39999962,9.973652763,2.100000143,27.5,10.55000019,6.989487375,1.949999928,17.1099987,9.279999733,2.66171471
"University_of_Maryland,_Baltimore_County",12.86083355,7.168809662,18.58904792,61.88916764,77236.10141,1103.372877,8530.289802,7171.039875,74368.50138,42.40000153,77.5,62.10000229,5.30766803,7.599999905,15.80000019,11.5,1.464966308,0,30.25,2.599999905,9.996687769,0.900000036,300.3999939,84.80000305,45.77889175,-10.5,21.39999962,6.599999905,8.404020623,-5.700000286,27.20000076,12.90000057,8.751786031,-10.5,21.39999962,6.599999905,8.404020623,-0.900000036,33.5,19.20000076,9.159957253,2.100000143,25.89999962,9.600000381,6.652777477,0.829999983,17.02999878,10.15999985,2.483428446
Utah_Forest_Dynamics_Plot,8.030595382,-0.401547622,16.48619073,48.54916741,23501.20045,335.731435,4928.719892,13795.4997,98717.10155,19.70000076,74.70000458,49.90000153,10.68894929,10.30000019,22.20000076,17.10000038,2.395614922,0,31,20.10000038,11.33612703,0,113.2000046,22.55000019,20.56714334,-14.30000019,12.69999981,-1.100000024,7.040205444,-7.099999905,22.20000076,7.599999905,7.933397192,-14.30000019,12.69999981,-1.100000024,7.040205444,-0.600000024,31.89999962,16.20000076,8.916052767,2,9.900000572,4,1.920402288,0,12.44999981,5.764999867,2.606944841
Wabikon,3.957976278,-2.418452418,10.34119066,67.3311917,55479.80085,792.5685835,9598.559776,13981.8598,49076.10083,47.40000153,87.90000153,67.30000305,7.232250244,7.300000191,17.70000076,12.90000057,1.78794895,0,31,20.80500031,12.68625858,4.200000286,203.1000061,59.5,39.7406448,-24.5,14.5,-1.25000006,10.62854497,-17.80000114,21.60000038,5.099999905,10.92885272,-24.5,14.5,-1.25000006,10.62854497,-11.40000057,28.70000076,11.60000038,11.32667268,0.800000012,19.20000076,6.400000095,5.071406923,5.119999886,21.88999939,11.34000015,1.889006263
Wanang,26.31369082,21.74702414,30.92607184,74.23226326,237623.7029,3394.624327,15927.44963,0,87481.60087,51.79999924,98.70000458,73.30000305,6.048242264,7.400000095,10.80000019,9.199999809,0.52343332,0,0,0,0,16.30000114,635,279,120.6275769,20.39999962,23.5,21.70000076,0.458286844,24.60000038,27.5,26.39999962,0.411996078,20.39999962,23.5,21.70000076,0.458286844,28.70000076,32.29999924,31,0.519304385,25.20000076,29.80000114,27.80000114,0.751858121,5.769999981,25.68000031,19.22499943,2.533254264
Wind_River,8.332500133,2.700595294,13.99523832,70.4129775,133355.602,1905.080028,8863.799826,10092.83981,55756.80095,33,93.5,73.54999924,13.73936143,5.800000191,18.60000038,11.30000019,3.027390641,0,30.59000015,12.5199995,9.502100895,0.100000001,785,121.8000031,140.0910708,-11.40000057,12.69999981,1.949999988,5.111322182,-7.400000095,20.5,7.900000095,6.397685048,-11.40000057,12.69999981,1.949999988,5.111322182,-3.400000095,29.60000038,13.6500001,7.779826491,3,13.69999981,7.800000191,2.262154523,0.01,25.01000023,10.48999977,5.106088442
Wytham_Woods,9.98309541,6.103571526,13.90928595,76.73619197,47378.90085,676.8414407,11068.08974,4940.309886,42817.90066,47.5,100,77.30000305,8.43432891,3.799999952,12.80000019,7.900000095,1.95167955,0,25.25,4.019999743,6.048473524,2,144.3000031,53.35000038,28.35430286,-4,14.30000019,5.700000286,4.084896126,-1.300000072,19.60000038,9.650000095,4.801760282,-4,14.30000019,5.700000286,4.084896126,1.399999976,25.5,13.69999981,5.602065041,4.5,17.30000114,9.800000191,2.777857294,2.059999943,25.28999901,13.08999968,4.470567619
Xishuangbanna,20.90297653,15.58595267,26.26952414,62.65012016,98019.20165,1400.274309,13537.84971,38.0699991,75306.80122,24.20000076,95.80000305,61.45000076,16.16548764,5.900000095,18.39999962,10,2.980711428,0,3.059999943,0,0.234684154,0,440.5,90.65000153,99.54170332,6.300000191,21.39999962,16.60000038,4.147097816,13.30000019,25.70000076,22,3.180719399,6.300000191,21.39999962,16.60000038,4.147097816,18.39999962,31.89999962,27.10000038,2.73382117,11.30000019,25.70000076,19.25000095,4.550985377,0.179999992,31,16.27999878,7.304441831
Yasuni,26.04785752,20.24202419,31.90488153,81.79345382,233286.704,3332.6672,17980.03959,0,85531.50128,55.40000153,99.20000458,82.5,5.592193529,7.800000191,14.30000019,11.69999981,0.958632543,0,0,0,0,101.5,627.5,260.8999939,86.7249924,17.70000076,23.80000114,20.30000114,0.813522881,23.60000038,28.10000038,26.10000038,0.725178187,17.70000076,23.80000114,20.30000114,0.813522881,28.89999962,34.20000076,32,0.921786535,23,28.80000114,26.10000038,1.05903063,10.82999992,31,21.35499954,3.052930199
Yosemite_National_Park,10.29821449,1.502976222,19.12095268,46.93178645,69887.50112,998.3928732,3962.269908,11712.88978,92006.50155,12.90000057,83,47.40000153,15.83209982,10.80000019,23.30000114,17.89999962,2.942920807,0,30.25,15.5199995,10.14682326,0,538,42.70000076,98.09326031,-10.5,12.5,0.800000012,5.4653621,-1.300000072,23,9.950000286,6.620800911,-10.5,12.5,0.800000012,5.4653621,5.300000191,33.5,18.65000057,7.897905804,3.400000095,10.19999981,6.5,1.281871159,0,18.90999985,4.75,3.346709208
Zofin,8.319881107,4.014404818,12.65880976,66.91297748,51157.70099,730.8242999,11726.85973,8812.539832,50609.70074,29.70000076,99.70000458,67.59999847,11.69320454,4.099999905,13.40000057,9.100000381,2.323039909,0,30.48999977,7.839999676,10.29045635,0.900000036,211.1999969,54.05000114,35.48313557,-13,15.19999981,3.799999952,6.453140602,-8.699999809,21.39999962,8.600000381,7.37057576,-13,15.19999981,3.799999952,6.453140602,-4.900000095,27.80000114,13.30000019,8.368854862,3.200000048,16.20000076,8.25,3.701854837,0.870000005,21.72999954,14.19999981,3.325300183
