Id,Site ,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1,Korup,25.992,26.05,26.117,25.992,26.083,26.292,26.133,25.975,26.217,26.042,26.108,26.467,26.167,26.492,26.133,26.133,26.133,26.133,26.133,26.133,26.133,26.133,26.05,25.95,25.733,26.267,26.117,25.783,25.558,26.383,26.65,26.558,26.392,26.325,26.433,26.067,26.458,26.767,26.525,26.133,27.033,26.725,26.175,26.367,26.225,26.1,26.633,26.025,26.592,26.067,25.983,25.808,25.6,25.667,25.5,25.533,25.775,25.95,25.917,25.95,25.717,25.842,26.275,25.817,25.833,26.1,25.917,26.075,26.458,26.2,25.683,26.1,26.458,25.725,25.65,25.642,26.167,26.017,26.408,26.358,26.142,25.958,26.275,26.133,26.233,26.05,26.842,26.375,26.217,26.533,26.317,26.092,26.242,26.208,26.542,26.4,26.3,26.933,26.408,26.333,26.283,26.433,26.775,26.517,26.817,26.575,26.55,26.442,26.792,26.983,26.583,26.583
2,Ituri,23.608,23.608,23.608,23.608,23.608,23.608,23.608,23.608,23.608,23.517,23.575,23.533,23.517,23.608,23.583,23.517,23.5,23.517,23.65,23.508,23.567,23.608,23.592,23.633,23.567,23.592,23.608,23.658,23.592,23.542,23.575,23.567,23.675,23.575,23.608,23.608,23.608,23.608,23.608,23.617,24.1,23.958,23.825,23.867,23.767,23.483,23.692,23.508,23.9,23.217,23.658,23.65,23.75,23.533,23.417,23.192,23.633,24.05,23.642,23.55,23.442,23.375,23.4,23.433,23.442,23.667,23.483,23.275,23.675,23.8,23.358,23.642,23.85,23.517,23.425,23.592,23.758,23.733,23.433,23.592,23.6,23.675,23.892,23.583,23.492,23.725,24.35,23.883,23.25,23.883,23.808,23.783,23.792,23.525,24.233,23.925,24.525,24.025,23.85,24.367,25.008,25.058,25.142,24.717,25.108,24.767,24.642,24.975,25.442,25.158,24.575,24.1
3,Rabi,25.767,25.775,25.892,25.65,26.042,25.917,25.892,25.65,26.075,25.625,25.9,26.217,25.675,25.992,25.892,25.858,25.875,25.875,25.9,25.875,25.875,25.875,25.875,25.875,25.875,25.9,25.883,25.883,25.867,25.875,25.883,25.9,25.908,25.9,25.892,25.875,25.917,25.892,25.883,25.9,26.392,26.108,25.683,26.217,26.192,25.875,26.575,26.125,26.508,26.125,26.292,26.275,26.092,25.825,25.808,25.783,25.967,25.858,26.2,26.358,25.933,25.967,26.583,26.1,26.125,26.417,26.108,26.067,26.175,26.217,25.992,25.508,25.792,25.617,25.258,25.058,25.592,25.45,25.8,25.833,25.808,25.425,25.975,26.275,25.767,25.7,26.208,26.175,25.983,26.042,26.083,25.725,25.908,25.775,26.267,26.108,26.058,26.833,26.142,26.117,26.283,26.617,26.4,26.008,26.283,26.45,26.2,26,26.242,26.392,26.217,26.375
4,Mpala,17.067,17.1,17.142,17.075,17.133,17.125,17.042,17.192,16.958,17.192,16.908,16.692,16.9,17.075,17,16.992,17.058,17.067,17.067,17.067,17.183,17.367,17.067,17.5,17.275,17.167,17.142,17.367,17.075,16.842,17.242,17.117,17.175,17.108,17.083,17.067,17.308,17.092,17.25,17.375,17.5,17.433,17.433,17.475,17.508,17.383,17.233,16.967,17.267,16.6,17.275,17.642,17.567,17.267,17.292,16.908,17.225,17.308,17.3,17.25,17.358,16.975,16.825,16.767,16.875,17.142,16.75,16.017,16.867,17,16.508,17.2,17.45,16.692,16.9,17.358,17.108,16.892,17.075,17.258,17.142,17.267,17.608,17,16.967,17.225,17.8,17.583,16.933,17.158,17.308,17.275,17.233,17.033,17.658,17.708,17.825,17.733,17.942,18.092,17.917,18.658,18.35,18.008,17.992,18.108,17.9,17.683,18.4,18.308,18.192,17.825
5,Wanang,26.317,26.317,26.333,25.933,26.158,26.375,26.067,26.075,26.65,26.608,26.292,26.4,26.217,26.033,26.45,26.542,26.492,25.867,25.975,26.292,26.317,26.292,25.992,26.333,25.95,26.433,26.142,26.267,25.825,25.975,25.742,26.283,26.408,26.458,26.317,26.283,26.633,26.233,26.342,26.267,25.75,26.608,26.125,26.092,26.217,25.925,26.408,26.175,26.308,26.408,26,26.192,26.058,26.025,25.967,26.117,26.092,26.25,26.033,25.9,25.8,25.917,25.967,25.925,25.65,25.917,25.742,25.967,26.2,26.15,26.142,26.275,26.517,26.25,26.267,26.175,26.342,26.617,26.7,26.708,26.667,26.492,26.667,26.483,26.417,26.617,26.833,26.742,26.667,26.775,26.517,26.508,26.767,26.342,26.183,26.25,26.3,26.333,26.308,26.317,26.292,26.317,26.442,26.408,26.3,26.308,26.308,26.3,26.317,26.342,26.317,26.317
6,Kuala Belalong,26.383,26.375,26.175,26.017,26.117,26.208,26.083,26.15,26.167,26.158,26.175,26.433,26.292,26.525,26.675,26.192,26.042,25.85,26.5,26.375,26.217,26.3,26.208,26.342,26.183,26.408,26.408,26.425,26.1,26.517,26.717,26.267,26.367,26.125,26.45,26.492,26.558,26.408,26.4,26.433,26.817,26.358,26.358,26.358,26.358,26.375,26.525,26.333,26.308,26.725,26.925,26.717,26.8,26.475,26.283,26.267,26.767,26.858,26.608,26.7,26.308,26.167,26.167,26.183,26.133,26.542,26.283,26.275,26.183,26.067,26.142,26.508,26.708,26.217,26.4,25.875,26.067,26.275,26.358,26.383,26.342,26.417,26.717,26.133,26.292,26.292,26.675,26.567,26.35,26.633,26.675,26.583,26.467,26.567,26.558,26.425,26.775,27.183,26.742,26.775,26.883,27,26.9,26.808,26.775,26.683,26.617,26.333,26.783,26.758,26.633,26.85
7,Dinghushan,21.617,22.225,21.308,21.342,21.275,21.392,21.6,21.45,21.858,21.475,21.533,21.35,21.025,21.95,21.95,21.467,20.95,21.408,21.717,21.525,21.65,21.75,22.208,21.925,21.308,21.508,21.55,21.983,21.842,21.767,21.733,21.692,21.875,21.333,21.925,21.242,22.075,22.292,22.175,22.083,22.075,21.783,21.583,21.233,20.892,21.783,21.217,21.658,21.758,21.567,21.317,22.008,21.533,21.375,21.408,21.358,21.283,21.667,21.675,21.867,21.758,21.425,21.892,21.725,21.767,22.275,21.258,21.567,21.017,21.1,21.3,21.508,21.95,21.425,21.517,21.058,21.775,21.567,21.617,21.942,21.708,21.617,21.35,20.908,21.258,21.8,22.325,21.317,21.95,22.35,22.458,21.75,21.9,22.533,21.967,21.392,21.75,22.592,22.208,22.092,22.158,22.583,22.617,22.525,22.383,22.8,22.642,22.033,22.425,22.192,21.133,21.383
8,Heishiding,21.158,21.683,20.858,20.85,20.842,20.933,21.108,20.992,21.408,21.033,21.067,20.867,20.558,21.458,21.467,21.067,20.542,20.983,21.3,21.092,21.275,21.458,21.883,21.592,20.875,21.133,21.225,21.567,21.45,21.325,21.508,21.308,21.5,21.017,21.508,20.775,21.6,21.783,21.592,21.575,21.742,21.6,21.3,20.908,20.408,21.625,20.808,21.258,21.333,21.017,20.783,21.567,21.325,21.2,21.308,20.833,20.975,21.558,21.425,21.583,21.308,21.125,21.625,21.3,21.508,21.758,20.808,21.192,20.642,20.583,20.933,21.133,21.525,21.075,21.142,20.583,21.508,21.275,21.375,21.5,21.15,21.108,20.967,20.333,20.683,21.267,21.808,20.65,21.45,21.867,21.983,21.317,21.442,22.008,21.467,20.992,21.375,22.217,21.633,21.492,21.492,21.942,22.025,21.825,21.692,22.167,21.975,21.325,21.85,21.658,20.583,20.917
9,Hong Kong,22.708,23.408,22.392,22.425,22.417,22.542,22.758,22.542,23.008,22.642,22.7,22.6,22.583,23.433,23.442,22.492,22.1,22.225,22.725,22.633,22.758,22.842,22.908,22.758,22.308,22.433,22.333,22.867,22.958,22.842,22.933,22.775,22.933,22.325,22.858,22.575,23.367,23.1,22.883,22.933,23.175,22.3,22.55,22.325,21.658,23.208,22.417,23.217,23.108,22.867,22.533,23.183,22.917,23.025,22.975,22.808,22.675,23.2,23.408,23.492,23.3,22.458,22.992,22.592,22.833,23.525,22.617,22.683,22.45,22.5,22.483,22.567,23.025,22.492,22.542,22.233,23.05,22.558,22.792,22.675,22.825,22.625,22.758,22.208,22.325,22.508,23.108,22.525,22.717,22.817,23.225,22.567,23.267,23.683,22.75,23,22.85,23.517,23.25,23.058,23.4,23.683,23.542,23.758,22.9,23.492,23.608,22.808,22.917,22.783,22.4,22.692
10,Jianfengling,24.35,24.808,24.092,24.017,24.633,24.708,24.317,24.225,24.517,24.233,24.533,24.4,24.167,24.825,24.692,23.983,23.75,24.017,24.408,24.267,24.083,24.292,24.158,24.342,23.925,24.217,23.992,24.508,24.542,24.225,24.725,23.992,24.258,23.642,24.717,24.092,24.617,24.008,24.167,24.492,25.058,24.6,24.808,24.608,23.75,24.942,24.2,24.492,25.125,24.533,24.325,25.033,24.792,24.758,24.508,24.417,24.3,24.408,24.65,24.55,24.55,24,24.05,24.267,24.5,25.025,23.9,24.025,24.292,24.142,23.658,24.233,24.825,23.858,24.283,24.017,24.442,24.467,24.8,24.917,24.717,24.458,24.483,23.942,24.133,24.425,25.225,24.483,24.567,24.867,25.3,24.85,24.908,25.3,24.833,24.775,25.125,25.892,25.033,24.992,25.342,25.542,25.625,25.292,25.45,25.642,24.675,24.125,24.883,25.275,23.975,25.108
11,Nonggang,22.225,22.492,21.95,21.867,22.142,22.217,22.117,22.117,22.425,22.092,22.2,21.992,21.725,22.333,22.408,22.258,21.8,22.15,22.542,22.258,22.625,23.133,23.267,23.092,22.167,22.583,22.733,22.733,22.892,22.558,23.375,22.367,22.767,22.55,22.758,21.942,22.725,22.642,22.308,22.65,22.625,23.3,22.825,22.367,22.092,23.508,22.258,22.525,22.683,22.342,22.033,22.492,22.383,22.317,22.117,21.967,22.05,22.317,22.058,22.3,22.267,21.875,22.3,22.108,22.35,22.625,21.667,22.092,22.092,21.983,21.625,22.292,22.55,21.917,22.275,21.692,22.1,22.342,22.583,22.667,22.375,22.367,22.275,21.833,22.075,22.392,22.975,22.217,22.375,22.892,23.05,22.458,22.608,22.85,22.45,22.3,22.75,23.658,22.442,22.275,22.183,22.558,22.775,22.217,22.383,22.8,22.492,21.7,22.883,22.85,21.617,22.525
12,Xishuangbanna,20.692,20.592,20.392,20.2,20.742,20.75,20.375,20.542,20.75,20.45,20.583,20.408,20.15,20.525,20.7,20.875,20.417,20.65,21.117,20.817,21.317,21.367,21.083,21.25,20.625,21.342,21.033,21.1,21.258,21.05,21.708,20.817,21.208,20.683,21.375,20.783,21.517,20.642,20.425,20.792,21.067,21.142,20.567,20.808,20.917,21.367,21.425,20.858,20.708,20.483,20.3,20.467,20.375,19.958,19.8,20.083,20.458,20.617,20.625,20.625,20.383,20.092,20.317,20.4,20.625,21.175,20.258,20.358,20.917,20.575,19.875,20.55,20.742,20.25,20.833,20.2,19.958,20.817,21.467,21.417,20.858,20.708,20.908,20.958,20.625,20.575,21.192,20.85,20.5,20.783,21.325,20.617,20.867,21.058,20.925,20.642,20.825,21.908,20.975,21,21.025,21.083,21.267,20.867,21.433,21.4,21.017,21.158,21.908,22.408,20.842,22.233
13,Mudumalai,23.792,23.767,23.617,23.158,23.725,23.933,23.433,23.517,23.675,23.433,23.642,23.775,23.808,23.975,24.067,23.542,23.258,23.508,23.958,23.758,23.667,23.492,23.633,23.925,23.758,24.292,24.175,24.117,23.942,23.933,24.208,23.617,23.442,23.717,23.792,23.85,23.825,23.783,23.492,23.517,24.192,23.933,23.317,23.692,23.983,23.683,23.733,23.967,23.583,23.6,23.542,23.675,23.608,23.375,23.25,23.192,23.567,23.825,23.767,23.617,23.642,23.5,23.617,23.75,23.792,24.05,23.233,23.558,23.833,23.425,23.15,23.808,23.908,23.5,23.342,23.733,23.792,23.783,24.083,24.142,24.05,24.258,24.567,23.808,24.175,24.242,24.408,24.35,23.992,24.208,24.2,23.9,24.117,24.067,24.317,24.25,24.575,24.867,24.208,24.183,24.55,24.683,24.9,24.242,24.533,24.458,24.533,24.283,24.592,24.692,24.308,24.817
14,Danum Valley,25.2,25.167,24.825,24.533,24.725,24.883,24.675,24.767,24.792,24.792,24.725,25.008,24.858,25.067,25.275,24.783,24.683,24.508,25.067,24.958,24.825,24.933,24.833,24.992,24.85,25.008,25.058,25.083,24.767,25.158,25.375,24.967,25.05,24.842,25.083,25.142,25.217,25.058,25.092,25.175,25.442,25.1,25.1,25.1,25.1,25.15,25.367,24.908,24.9,25.233,25.175,25.117,25.133,24.883,24.892,24.733,25.133,25.217,24.925,25.008,24.683,24.642,24.558,24.558,24.592,24.983,24.7,24.767,24.892,24.867,24.8,24.95,25.1,25.017,25.158,24.675,24.892,25.05,25.108,25.167,25.417,25.358,25.583,25.142,25.292,25.333,25.758,25.725,25.583,25.758,25.7,25.6,25.558,25.6,25.583,25.383,25.642,25.933,25.6,25.708,25.758,25.8,25.608,25.65,25.55,25.45,25.417,25.233,25.633,25.492,25.517,25.675
15,Lambir,26.083,26.083,25.967,25.85,25.925,25.975,25.917,25.942,25.95,25.967,26,26.225,26.108,26.333,26.442,26.008,25.833,25.633,26.292,26.167,26.008,26.075,25.992,26.108,25.967,26.183,26.158,26.2,25.867,26.283,26.5,26.008,26.117,25.883,26.2,26.242,26.333,26.158,26.158,26.167,26.65,26.083,26.083,26.083,26.083,26.083,26.183,26.133,26.125,26.575,26.708,26.55,26.692,26.4,26.217,26.1,26.55,26.633,26.367,26.475,26.025,25.85,25.85,25.9,25.767,26.217,25.983,25.967,25.942,25.792,25.95,26.342,26.533,26.033,26.225,25.625,25.817,26.025,26.092,26.092,26.158,26.167,26.492,25.833,26,25.983,26.367,26.242,25.983,26.3,26.367,26.267,26.158,26.275,26.242,26.167,26.483,26.917,26.45,26.508,26.583,26.725,26.558,26.475,26.508,26.5,26.35,25.892,26.358,26.267,26.2,26.492
16,Pasoh,25.592,25.592,25.533,25.475,25.758,25.775,25.533,25.542,25.567,25.542,26.358,26.417,26.383,26.667,26.508,26.208,25.867,25.667,26.567,26.333,26.117,26.092,26.05,25.983,25.975,26.308,26.083,26.125,25.917,26.275,26.475,25.833,25.908,25.708,26.117,26.108,26.208,26.092,25.833,26.158,26.65,25.583,25.492,25.6,25.608,25.642,25.708,26.417,26.325,26.1,25.3,25.308,25.375,25.175,25.258,25.108,25.475,25.767,25.567,25.492,25.425,25.333,25.608,25.367,25.367,25.45,25.167,25.367,25.55,25.55,24.942,25.383,25.433,25.133,25.042,25.183,25.558,25.633,25.733,25.675,25.7,25.667,26.192,25.383,25.625,25.708,26.1,25.992,25.733,26.208,26.225,26.225,26.133,26.167,26.283,26.217,26.583,26.992,26.25,26.375,26.433,26.883,26.633,26.558,26.75,26.358,26.392,26.333,26.575,26.842,26.533,26.558
17,Palanan,24.917,24.958,24.258,23.742,24.208,24.467,24.158,24.142,24.458,24.108,23.917,24.283,24.208,24.267,24.658,24.175,23.675,24.008,24.408,24.45,23.942,24.55,24.025,24.367,24.183,24.267,24.483,24.533,24.142,24.667,24.95,24.283,24.658,24.1,24.492,24.5,24.542,24.367,24.333,24.367,24.983,24.8,24.283,24.575,24.433,25.033,25.108,25,24.742,24.75,24.933,25.25,25.142,25.142,24.55,24.758,25.058,24.775,25.067,25.158,24.975,24.558,24.133,24.592,24.475,24.858,24.258,24.325,24.9,24.975,24.175,24.642,25.117,24.883,24.975,24.6,24.817,24.8,24.742,24.908,24.558,24.858,25.525,25.075,25.092,24.633,25.208,25.258,25.225,25.042,25.108,25.142,24.867,25.175,24.925,24.808,24.775,25.825,25.125,25.258,25.225,25.142,25.083,25.083,24.983,25.608,25.492,25.133,25.108,25.5,25.192,25.583
18,Bukit Timah,26.758,26.758,26.75,26.742,26.767,26.792,26.75,26.75,26.758,26.75,27.508,27.592,27.492,27.8,27.658,27.342,26.942,26.717,27.675,27.483,27.233,27.267,27.192,27.125,27.067,27.425,27.2,27.208,26.967,27.4,27.583,26.9,26.967,26.75,27.25,27.208,27.325,27.192,27.075,27.5,27.942,26.758,26.758,26.758,26.758,26.783,26.8,27.5,27.433,27.133,26.983,27.058,26.967,26.617,26.625,26.292,26.683,27.008,26.733,26.742,26.8,26.483,26.708,26.475,26.583,26.8,26.45,26.333,26.55,26.408,26.108,26.45,26.333,26.033,26.225,26.35,26.667,26.808,26.883,26.942,27.083,27.383,27.533,26.733,27.183,27.158,27.433,27.292,26.983,27.55,27.492,27.417,27.483,27.65,27.642,27.542,28.108,28.033,27.558,27.525,27.658,28.092,27.583,27.667,27.792,27.533,27.458,27.433,27.667,27.75,27.383,27.55
19,Sinharaja,26.2,26.025,26.117,25.508,25.95,25.983,25.683,25.767,25.683,26.092,26.667,26.325,25.983,26.392,26.358,25.858,25.892,26.092,26.317,26.042,26.175,25.992,25.7,26.025,25.842,26.217,26.008,26.308,26,26.092,26.283,26.017,25.8,25.833,25.967,26.1,26.308,26.35,26.117,26.5,26.508,26.358,25.992,26.05,26.225,26.417,26.208,26.325,26.142,26.267,26.108,26.367,26.333,25.958,25.883,25.9,26.217,26.542,26.242,26.142,26.117,26.225,26.15,26.442,26.475,26.617,26.317,26.383,26.542,26.442,26.167,26.583,26.733,26.167,26.242,26.392,26.4,26.567,26.725,26.875,26.533,26.4,26.867,26.375,26.467,26.458,27.058,26.942,26.633,26.917,26.75,26.642,26.667,26.658,26.983,26.758,26.925,27.475,26.683,26.783,27.1,27.117,27.142,27.033,27.058,26.9,26.883,26.7,26.983,27.175,27.042,27.125
