Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1,Korup,21.592,21.417,21.208,21.275,21.108,21.142,21.383,21.558,21.525,21.558,21.192,21.508,21.725,21.308,21.242,21.567,21.633,21.808,22.05,21.792,21.125,21.617,22.117,21.333,21.267,21.533,21.992,21.608,22.3,22.208,21.575,21.567,21.875,21.517,21.867,21.758,22.317,22.058,21.542,22.408,22.033,21.508,21.6,21.8,22.008,22.025,21.8,22.325,21.95,21.758,21.892,22.05,22.4,22.175,22.45,22.175,22.167,22.075,22.467,22.575,21.983,22.2
2,Ituri,18,17.875,17.8,17.875,17.65,17.517,17.858,18.375,17.975,17.975,17.958,17.717,17.783,17.808,17.592,17.958,17.742,17.458,17.883,18.117,17.375,18,18.017,17.692,17.808,17.917,18.167,18.142,17.733,18.025,17.933,18.183,18.267,17.725,17.983,18.133,18.492,17.925,17.558,18.242,17.933,18.142,18.108,17.833,18.383,18.125,18.808,18.283,18.1,18.492,19.283,19.35,19.558,19.067,19.358,19.092,18.958,19.35,19.758,19.417,18.917,18.375
3,Rabi,22.917,22.9,22.717,22.45,22.433,22.408,22.592,22.483,22.825,22.983,22.542,22.592,23.175,22.675,22.725,23.033,22.733,22.692,22.783,22.858,22.592,22.125,22.433,22.233,21.867,21.725,22.292,22.075,22.508,22.517,22.408,22.042,22.592,22.833,22.392,22.35,22.817,22.808,22.525,22.717,22.708,22.35,22.533,22.4,22.892,22.733,22.683,23.458,22.767,22.742,22.908,23.242,23.025,22.633,22.908,23.075,22.825,22.625,22.867,23.017,22.842,23
4,Mpala,9.7333,10.033,9.7667,9.6583,9.6,9.15,9.9333,9.9833,10.275,10.042,10.092,9.4167,9.4917,9.0667,8.9917,9.525,9.3083,8.6333,9.15,9.6583,8.7667,9.75,9.6917,9.0667,9.2417,9.6083,9.5667,9.3417,9.5917,9.5083,9.5333,9.55,9.975,9.3917,9.6167,9.7333,10.05,9.9917,9.575,9.7667,9.2917,9.8833,9.675,9.7,10.183,9.9417,10.183,10.133,10.183,10.325,10.375,11.117,10.892,10.483,10.383,10.433,10.258,9.9417,10.775,10.65,10.642,10.133
5,Wanang,21.458,21.675,21.617,21.575,21.583,21.642,21.65,21.8,21.5,21.4,21.233,21.35,21.242,21.408,21.217,21.525,21.258,21.467,21.7,21.633,21.442,21.65,21.942,21.625,21.75,21.567,21.792,22.042,22.125,22.092,22.017,21.792,22.042,21.842,21.733,21.908,22.275,22.167,22.025,22.117,21.9,21.892,22.217,21.75,21.608,21.583,21.7,21.775,21.717,21.792,21.742,21.725,21.842,21.817,21.708,21.717,21.717,21.708,21.725,21.75,21.725,21.725
6,Kuala Belalong,22.808,22.858,22.567,22.292,22.225,22.225,22.667,22.85,22.575,22.633,22.242,22.258,22.3,22.058,21.867,22.117,21.683,21.692,21.892,21.792,21.933,22.233,22.558,21.983,22.233,21.758,22.167,22.158,22.183,22.175,22.175,22.233,22.658,22.225,22.233,22.35,22.65,22.617,22.325,22.567,22.658,22.417,22.458,22.575,22.65,22.467,22.733,23.233,22.767,22.808,22.917,22.95,23.017,22.9,22.883,22.833,22.817,22.483,22.917,22.9,22.725,22.842
7,Dinghushan,17.55,17.942,17.908,17.483,17.058,17.442,17.7,17.708,17.933,17.867,17.917,17.108,17.467,17.95,17.85,18.292,17.408,17.708,17.208,17.492,17.2,17.75,18.308,17.442,17.9,17.275,17.642,18.1,18,18.25,18.2,18.208,17.775,17.517,17.85,17.892,18.883,17.825,18.333,18.958,19.033,18.233,18.45,19.142,18.592,17.817,18.425,19.075,18.55,18.617,18.775,19.108,18.767,18.608,18.942,19.183,19.033,18.475,18.867,18.783,17.208,17.867
8,Heishiding,16.842,17.45,17.708,17.033,16.717,16.467,17.175,17.225,17.4,17.292,17.2,16.583,17.017,17.217,17.4,17.525,16.6,17.075,16.483,16.725,16.475,17.142,17.6,16.875,17.175,16.55,17.067,17.325,17.358,17.408,17.333,17.325,16.967,16.442,16.983,17.025,17.85,16.775,17.442,17.983,17.917,17.292,17.375,18.117,17.725,16.958,17.625,18.325,17.658,17.592,17.775,18.267,17.908,17.6,17.817,18.083,17.875,17.3,17.8,17.783,16.317,17.067
9,Hong Kong,18.783,19.392,19.45,19.383,19.242,19.083,19.142,19.475,19.833,19.858,19.558,18.583,19.175,19.15,19.4,20.058,19.242,19.408,19.058,19.217,19.042,19.275,19.7,19.033,19.35,18.808,19.483,19.283,19.325,19.283,19.575,19.508,19.675,19.1,19.233,19.233,19.883,19.258,19.442,19.642,19.658,19.025,19.683,20.2,19.267,19.558,19.475,19.983,19.642,19.667,19.842,20.25,20.075,20.292,19.725,20.3,20.392,19.625,19.758,19.7,19.05,19.592
10,Jianfengling,20.592,21.117,20.9,20.683,20.392,20.55,20.717,20.767,21.15,21.083,20.933,20.583,20.617,21.008,21.233,21.667,20.375,20.35,20.483,20.667,20.042,20.85,21.3,20.35,20.883,20.517,20.85,20.958,21.058,21.367,21.267,20.933,20.942,20.3,20.8,21.092,21.867,21.067,21.142,21.683,21.808,21.525,21.467,21.983,21.508,21.433,21.792,22.6,21.825,21.967,22.208,22.467,22.292,22.108,22.075,22.125,21.167,20.7,21.85,22.167,21.025,22.033
11,Nonggang,17.983,18.333,18.083,18.192,17.625,17.642,18.125,17.767,18.092,18.175,18.167,17.408,17.883,18.117,18.242,18.608,17.642,18.242,17.858,18.375,17.358,18.333,18.508,17.817,18.367,17.85,17.983,18.558,18.583,18.9,18.617,18.692,18.292,18.092,18.433,18.508,18.867,18.417,18.483,19.167,19.275,18.458,18.383,18.958,18.767,18.325,19.208,19.633,18.608,18.5,18.633,19.025,18.575,18.067,18.55,18.658,18.317,17.642,18.683,18.775,17.675,19.008
12,Xishuangbanna,14.608,14.5,14.525,14.317,14.392,14.517,14.142,14.383,14.842,14.925,14.633,14.45,14.217,14.9,14.95,15.642,14.958,14.867,15.183,15.275,14.708,15.317,15.533,14.625,15.342,14.95,14.917,15.5,15.85,15.8,15.883,15.558,15.483,15.592,15.55,15.408,16.2,15.675,15.3,15.875,16.433,15.367,15.683,16,16.025,15.725,15.875,16.683,16.075,16.225,16.225,16.117,16.258,15.625,16.358,16.075,15.775,16.183,16.567,16.983,15.933,16.867
13,Mudumalai,18.417,18.55,18.483,18.25,18.383,18.275,18.708,18.975,18.733,18.6,18.708,18.483,18.542,18.375,18.575,18.9,17.992,18.467,18.692,18.4,18.067,18.525,18.692,18,18.15,18.525,18.725,18.95,19.467,19.142,19.225,19.308,19.458,18.767,19.033,19.175,19.25,19.133,18.6,19.083,19.05,18.483,18.7,18.683,18.967,18.917,19.325,19.617,18.733,18.983,19.425,19.558,19.775,19.117,19.408,19.333,19.408,19.158,19.467,19.567,19.183,19.692
14,Danum Valley,21.508,21.517,21.233,20.75,20.95,20.683,21.117,21.308,20.95,21.167,20.725,20.983,20.85,20.675,20.7,20.958,20.692,20.65,20.883,20.883,20.783,20.833,21.042,20.9,21.167,20.742,21.183,21.183,21.258,21.35,21.6,21.5,21.758,21.425,21.542,21.683,22.075,22.158,22.05,22.158,22.125,21.917,22.017,22.108,22.125,21.942,22.15,22.417,22.167,22.208,22.192,22.167,22.117,22.1,22.008,21.933,22,21.733,22.117,21.967,21.925,22.092
15,Lambir,22.725,22.883,22.633,22.533,22.425,22.417,22.767,22.908,22.65,22.642,22.233,22.158,22.217,21.992,21.65,21.95,21.475,21.517,21.85,21.725,21.958,22.333,22.667,22.092,22.317,21.767,22.142,22.117,22.092,22.042,22.158,22.192,22.658,22.183,22.133,22.225,22.517,22.442,22.075,22.342,22.508,22.25,22.283,22.392,22.467,22.325,22.525,23.083,22.592,22.683,22.758,22.85,22.808,22.725,22.767,22.825,22.708,22.217,22.667,22.617,22.5,22.625
16,Pasoh,21.092,21.142,21.192,20.992,21.033,20.917,21.333,21.442,21.375,21.325,21.158,21.192,21.258,21.208,21.067,21.2,21.117,20.958,21.233,21.25,20.617,20.967,21.233,20.833,20.692,20.567,20.883,21,21.142,21.217,21.2,21.242,21.758,21.108,21.125,21.25,21.717,21.725,21.292,21.683,21.783,21.725,21.75,21.817,22.192,22.008,22.267,22.683,22.15,22.208,22.317,22.542,22.542,22.375,22.658,22.35,22.458,22.417,22.692,22.858,22.675,22.625
17,Palanan,19.958,20.267,20.175,20.025,19.608,19.958,20.117,19.817,19.958,20.333,20.025,19.775,19.45,20.042,19.883,20.383,19.575,19.558,19.992,20.133,19.575,19.775,20.108,20.067,19.892,19.858,20.05,19.9,19.775,20.142,19.725,20.092,20.525,20.133,20.092,20.133,20.4,20.233,19.875,19.917,20.008,19.658,19.692,20.008,20.092,19.975,19.883,20.617,20.242,20.442,20.425,20.108,19.975,20.367,20.067,20.533,20.808,20.425,20.508,20.7,20.608,20.95
18,Bukit Timah,23.125,23.242,22.983,22.642,22.733,22.275,22.775,23.025,22.975,22.933,22.892,22.642,22.883,22.625,22.533,22.783,22.583,22.375,22.467,22.567,22.15,22.458,22.55,22.3,22.242,22.383,22.817,23.233,23.175,23.158,23.342,23.608,23.692,23.008,23.258,23.317,23.625,23.675,23.258,23.733,23.5,23.567,23.675,23.908,23.925,23.708,24.225,24.175,23.758,23.675,23.775,24.167,23.7,23.775,23.808,23.675,23.742,23.9,24.133,24.283,24.008,24.083
19,Sinharaja,22.775,23.033,23,22.625,22.7,22.692,23.033,23.35,22.933,22.875,22.9,22.983,22.883,23,23.142,23.275,22.925,23.108,23.192,23.175,22.842,23.167,23.325,22.625,22.883,23,23.058,23.35,23.633,23.583,23.35,23.108,23.5,23.058,23.117,23.158,23.7,23.55,23.158,23.567,23.4,23.125,23.15,23.167,23.525,23.3,23.5,24.042,23.15,23.4,23.767,23.783,23.808,23.7,23.725,23.567,23.55,23.367,23.65,23.842,23.708,23.792
20,Fushan,17.742,18.108,18.308,18.333,17.642,17.908,17.825,17.85,18.133,17.958,18.042,17.358,17.067,17.883,17.6,18.033,17.375,17.092,17.267,17.558,17.117,17.508,18.042,17.742,17.892,17.475,18.217,17.983,18.033,18.192,17.933,17.95,18.258,17.525,17.85,17.358,18.108,17.975,17.767,18.508,18.133,17.592,18.092,18.65,17.858,17.983,18.317,19.333,18.608,18.7,18.692,18.683,18.658,18.45,18.2,18.775,18.942,18.375,18.567,18.533,18.25,18.508
21,Kenting,20.2,20.675,20.717,20.742,19.792,20.158,20.158,20.033,20.008,20.417,20.158,19.942,19.7,20.542,20.225,20.4,19.917,19.458,19.925,20.317,19.667,19.817,20.2,19.892,19.95,19.8,20.083,19.55,19.05,20.15,19.917,19.5,19.342,18.883,19.242,18.8,19.725,20.075,19.617,20,19.808,19.475,19.617,19.925,19.767,19.875,19.742,20.925,19.75,20.25,20.442,20.433,20.333,20.375,20,20.592,20.8,20.333,20.417,20.467,20.492,20.808
22,Lienhuachih,13.25,13.65,13.775,13.35,12.475,13.108,13.108,12.933,13.017,13.142,13.05,12.383,12.05,13.108,12.767,13.433,12.9,12.1,12.775,13.242,12.45,12.617,13.083,12.717,12.808,12.392,12.733,12.925,12.542,13.108,12.925,12.833,12.8,12.567,12.783,12.75,13.225,13.425,12.825,13.2,13.4,12.658,13.125,13.483,13.175,13.383,13.25,14.367,13.7,13.592,13.942,13.992,13.675,13.658,13.275,13.875,14.092,13.5,13.558,13.542,13.475,13.758
23,Nanjenshan,19.233,19.733,19.658,19.9,18.95,19.242,19.242,19.2,19.217,19.492,19.358,19.075,18.85,19.608,19.358,19.625,19.042,18.458,18.792,19.317,18.775,18.883,19.375,18.925,19.083,18.875,19.2,18.85,18.55,19.342,19.05,18.842,18.675,18.267,18.492,18.233,18.975,19.233,18.967,19.475,19.208,18.825,18.992,19.2,18.792,18.942,18.833,20.008,19.008,19.383,19.708,19.758,19.575,19.65,19.242,19.85,20.067,19.542,19.617,19.675,19.675,19.983
24,Zenlun,13.808,14.258,14.242,14.008,13.175,13.725,13.7,13.583,13.625,13.675,13.6,13.108,12.842,13.825,13.425,14.092,13.533,12.725,13.358,13.842,13.033,13.225,13.7,13.375,13.492,13.058,13.275,13.433,13.125,13.75,13.45,13.342,13.275,13.125,13.325,13.125,13.858,14.075,13.442,13.725,13.825,13.183,13.608,14.017,13.692,13.933,13.733,14.775,13.958,14.017,14.417,14.45,14.183,14.208,13.783,14.4,14.617,14.05,14.133,14.133,14.083,14.375
25,Doi Inthanon,16.933,16.817,16.933,16.375,15.65,15.975,16.367,16.542,16.783,16.992,16.683,16.425,16.358,16.433,16.667,17.183,16.525,16.4,16.408,16.7,15.825,16.542,16.342,16.025,17.308,16.217,16.025,17.442,18,17.592,17.108,16.567,17.042,17.067,17.075,16.692,17.183,16.5,16.108,16.583,17.292,16.492,16.6,16.667,16.825,16.633,16.583,17.042,16.958,16.742,17.175,17.092,16.95,16.65,16.792,16.475,16.75,17.808,17.775,18.35,17.433,18.133
26,Huai Kha Khaeng,18.975,18.833,18.833,18.45,17.842,17.908,18.617,18.842,19.075,19.183,18.95,18.292,18.733,18.85,18.933,19.558,18.808,18.892,18.825,18.633,18.283,19.375,19.025,18.717,18.95,18.442,19.1,19.45,19.583,19.5,18.642,18.6,18.667,18.792,18.892,18.55,18.992,18.667,18.517,19.142,19.642,19.033,19.3,19.35,19.025,18.742,18.858,19.475,18.967,19.258,19.433,19.358,18.783,18.742,19.475,19.075,18.875,18.967,19.317,20.258,18.992,20.075
27,Khao Chong,21.533,21.733,21.925,21.683,21.3,21.275,21.95,21.725,22.092,22.217,22.033,21.908,21.725,21.9,21.883,22.092,21.817,21.65,22.183,22.3,21.7,22.042,22.283,21.733,22.008,21.633,22.192,22.308,22.375,22.242,21.658,21.692,21.933,21.667,21.617,21.808,22.1,22.242,21.883,22.092,22.125,21.85,21.817,22.15,22.05,22.375,22.333,22.858,22.442,22.625,22.842,23.125,23.117,23.142,23.075,23.033,22.633,22.65,22.583,23.15,22.725,22.817
28,Mo Singto,21.592,21.633,21.692,21.358,20.783,21.008,21.592,21.867,21.867,21.892,21.8,21.283,21.142,21.467,21.775,22.608,21.808,22.275,22.567,22.2,21.275,22.25,22.267,21.825,22.2,21.842,22.158,22.633,22.842,22.625,21.775,21.8,22.05,21.783,21.875,21.725,22.05,21.975,21.717,22.217,22.683,22.4,22.358,22.592,22.225,22.067,22.517,23.092,22,22.125,23.1,23.175,22.908,22.767,23.175,23.208,22.683,22.5,22.633,23.492,22.492,23.417
29,Haliburton Forest,-1.975,-0.9,-0.225,-1.8,-1.6083,-2.3167,-1.85,-2.775,-2.5583,-2.825,-1.5667,-2.6667,-2.9583,-1.3667,-2.325,-1.6667,-1.8583,-1.5,-1.4417,-2.0333,-1.6167,-2.5083,-0.083333,-1.5167,-0.99167,-2.825,-1.3333,-2.7,-1.1,-2.1583,-1.1083,-1.5667,-0.61667,-0.43333,-1.275,-0.68333,0.0083333,-1.1083,-3.1167,-0.54167,-0.76667,-2.2917,-1.7417,-1.8417,-1.4667,-1.3667,-1.85,0.7,-0.5,-1.6833,-0.083333,-0.525,-1.9667,-1.675,-0.78333,0.525,-1.1083,-1.3,-1.6583,0.475,-0.33333,0.96667
